Name,Postcode,geo_longitude,geo_latitude,,Thursday,Tonight,,,,,
Revolution,BA1 2EB,-2.3615183,51.38501,,0:00,Closes tonight at 0:00am,,,,,
The Canary,BA1 1HE,-2.3618477,51.3826217,,0:00,Closes tonight at 0:00am,,,,,
The Curfew Inn,BA1 5DG,-2.3571185,51.3900424,,0:00,Closes tonight at 0:00am,,,,,
Slug and Lettuce,BA1 2EE,-2.362056346,51.38517287,,0:00,Closes tonight at 0:00am,,,,,
The Garricks Head,BA1 1ET,-2.362660774,51.38201063,,0:00,Closes tonight at 0:00am,,,,,
The Raven,BA1 1HE,-2.3618477,51.3826217,,0:00,Closes tonight at 0:00am,,,,,
The Pulteney Arms,BA2 6ND,-2.352673712,51.38587015,,0:00,Closes tonight at 0:00am,,,,,
The Assembly Inn,BA1 2QU,-2.3619204,51.3857983,,0:00,Closes tonight at 0:00am,,,,,
Saracens Head,BA1 5LP,-2.35998027,51.38435155,,0:00,Closes tonight at 0:00am,,,,,
New Inn,BA1 2AY,-2.365594847,51.3828617,,0:00,Closes tonight at 0:00am,,,,,
Alehouse,BA1 1NG,-2.358277,51.3812608,,0:00,Closes tonight at 0:00am,,,,,
The Chequers,BA1 2QA,-2.3642838,51.3879331,,0:00,Closes tonight at 0:00am,,,,,
Volunteer Riflemans Arms,BA1 1BH,-2.36058838,51.38267472,,0:00,Closes tonight at 0:00am,,,,,
The West Gate,BA1 1EL,-2.361262419,51.381538,,0:00,Closes tonight at 0:00am,,,,,
Pig & Fiddle,BA1 5BR,-2.3601015,51.3844738,,0:00,Closes tonight at 0:00am,,,,,
All Bar One,BA1 5AQ,-2.359384654,51.38188656,,0:00,Closes tonight at 0:00am,,,,,
Lamb & Lion,BA1 1QU,-2.360495,51.38001126,,0:00,Closes tonight at 0:00am,,,,,
Culture & Cure ,BA1 5ED,-2.3619039,51.3884761,,0:00,Closes tonight at 0:00am,,,,,
Cosy Club,BA1 1AP,-2.358080198,51.37903675,,0:30,Closes tonight at 0:30am,,,,,
"Graze Bar, Brewery & Chophouse",BA1 1SX,-2.3568119,51.3774883,,0:30,Closes tonight at 0:30am,,,,,
Devonshire Arms,BA2 4RY,-2.3654974,51.3692333,01225 429 593,0:30,Closes tonight at 0:30am,,,,,
The Grapes,BA1 1EQ,-2.3614968,51.3814334,,0:30,Closes tonight at 0:30am,,,,,
St. James Wine Vault,BA1 2TW,-2.367554025,51.3882653,,1:00,Closes tonight at 1:00am,,,,,
Star Inn,BA1 5NA,-2.3599813,51.3871152,,1:00,Closes tonight at 1:00am,,,,,
The Salamander,BA1 2JL,-2.362078271,51.38343425,,1:00,Closes tonight at 1:00am,,,,,
The Porter,BA1 2QS,-2.3628356,51.3847244,,1:00,Closes tonight at 1:00am,,,,,
Belushi’s,BA1 2JY,-2.3604584,51.3836937,,1:00,Closes tonight at 1:00am,,,,,
The Slug And Lettuce,BA1 2EY,-2.3609377,51.3852571,,1:00,Closes tonight at 1:00am,,,,,
The Bath Brew House,BA1 2BX,-2.3649104,51.3810366,,1:00,Closes tonight at 1:00am,,,,,
The Cork,BA1 1EB,-2.3623316,51.3806949,,1:00,Closes tonight at 1:00am,,,,,
The Boater,BA2 4BQ,-2.3570824,51.3831512,,1:00,Closes tonight at 1:00am,,,,,
St Christophers Inn,BA1 2JY,-2.3604584,51.3836937,,1:00,Closes tonight at 1:00am,,,,,
Circo Bar & Lounge,BA2 4AA,-2.3569087,51.3801536,,1:00,Closes tonight at 1:00am,,,,,
Marlborough Tavern,BA1 2LY,-2.369683114,51.38758136,,1:00,Closes tonight at 1:00am,,,,,
club XL,BA1 5BG,-2.3592388,51.3874595,,2:00,Closes tonight at 2:00am,,,,,
Sub 13,BA1 2EE,-2.362056346,51.38517287,,2:00,Closes tonight at 2:00am,,,,,
Central Bar,BA1 1RG,-2.3596389,51.3830983,,2:00,Closes tonight at 2:00am,,,,,
Back To Mine,BA1 5LS,-2.3604623,51.38531725,,2:00,Closes tonight at 2:00am,,,,,
Gascoyne Place,BA1 1EY,-2.361809,51.3824068,,2:00,Closes tonight at 2:00am,,,,,
Common Room,BA1 2QP,-2.361793362,51.38615989,01225 425550,2:00,Closes tonight at 2:00am,,,,,
Flan O’Briens,BA1 1EP,-2.36165962,51.38133209,,2:00,Closes tonight at 2:00am,,,,,
The Second Bridge,BA1 1JQ,-2.3571527,51.3789327,01225 464449,2:30,Closes tonight at 2:30am,,,,,
Po Na Na,BA2 4AL,-2.3565983,51.3806683,,3:00,Closes tonight at 3:00am,,,,,
Zero Zero,BA1 2EB,-2.361218,51.384999,,3:00,Closes tonight at 3:00am,,,,,
The Weir Lounge,BA2 6PA,-2.3525749,51.3871585,,4:00,Closes tonight at 4:00am,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
