Name,Postcode,geo_longitude,geo_latitude,,Thursday,Tonight,,,,,
Revolution,BA1 2EB,-2.3615183,51.38501,,0:00,Closes tonight at 0:00am,,,,,
The Curfew Inn,BA1 5DG,-2.3571185,51.3900424,,0:00,Closes tonight at 0:00am,,,,,
Slug and Lettuce,BA1 2EE,-2.362056346,51.38517287,,0:00,Closes tonight at 0:00am,,,,,
Ring O Bells,BA2 4JT,-2.3540716,51.3763999,,0:00,Closes tonight at 0:00am,,,,,
Star Inn,BA1 5NA,-2.3599813,51.3871152,,0:00,Closes tonight at 0:00am,,,,,
The Porter,BA1 2QS,-2.3628356,51.3847244,,0:30,Closes tonight at 0:30am,,,,,
Circo Bar & Lounge,BA2 4AA,-2.3569087,51.3801536,,23:00,Closes tonight at 23:00am,,,,,
Moles,BA1 2EN,-2.3628356,51.3847244,,0:00,Closes tonight at 0:00am,,,,,
Flan O’Briens,BA1 1EP,-2.36165962,51.38133209,,2:00,Closes tonight at 2:00am,,,,,
Flan O’Briens,BA1 1EP,-2.36165962,51.38133209,,2:00,Closes tonight at 2:00am,,,,,
New Inn,BA1 2AY,-2.365594847,51.3828617,,23:00,Closes tonight at 23:00am,,,,,
Volunteer Riflemans Arms,BA1 1BH,-2.36058838,51.38267472,,23:00,Closes tonight at 23:00am,,,,,
The West Gate,BA1 1EL,-2.361262419,51.381538,,23:00,Closes tonight at 23:00am,,,,,
"Graze Bar, Brewery & Chophouse",BA1 1SX,-2.3568119,51.3774883,,23:00,Closes tonight at 23:00am,,,,,
Devonshire Arms,BA2 4RY,-2.3654974,51.3692333,01225 429 593,23:00,Closes tonight at 23:00am,,,,,
The Salamander,BA1 2JL,-2.362078271,51.38343425,,23:00,Closes tonight at 23:00am,,,,,
Belushi’s,BA1 2JY,-2.3604584,51.3836937,,23:00,Closes tonight at 23:00am,,,,,
The Bath Brew House,BA1 2BX,-2.3649104,51.3810366,,23:00,Closes tonight at 23:00am,,,,,
The Cork,BA1 1EB,-2.3623316,51.3806949,,23:00,Closes tonight at 23:00am,,,,,
The Ram At Widcombe,BA2 4LD,-2.3546397,51.3765542,,23:00,Closes tonight at 23:00am,,,,,
The Crown Inn,BA2 6NY,-2.3521468,51.3869586,,23:00,Closes tonight at 23:00am,,,,,
The Old Green Tree,BA1 2JZ,-2.36047,51.3830553,,23:00,Closes tonight at 23:00am,,,,,
Joya,BA2 4AN,-2.3581334,51.3826383,,23:00,Closes tonight at 23:00am,,,,,
The Barley,BA2 6NZ,-2.3521925,51.3868055,01225 464845,23:30,Closes tonight at 23:30am,,,,,
The Grapes,BA1 1EQ,-2.3614968,51.3814334,,23:30,Closes tonight at 23:30am,,,,,
St Christophers Inn,BA1 2JY,-2.3604584,51.3836937,,23:30,Closes tonight at 23:30am,,,,,
Gascoyne Place,BA1 1EY,-2.361809,51.3824068,,23:30,Closes tonight at 23:30am,,,,,
Coeur De Lion,BA1 5AR,-2.3602477,51.3823273,,23:30,Closes tonight at 23:30am,,,,,
The Trinity,BA1 2DA,-2.36315153,51.38081959,,23:30,Closes tonight at 23:30am,,,,,
King Of Wessex,BA1 2BX,-2.3649104,51.3810366,,23:30,Closes tonight at 23:30am,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
